x-axis,1,2,3
second,Volt,Ampere,Volt
-5.0000E+00,+2.8761E+00,+3.5587E+00,+3.6941E+00
-4.9900E+00,+2.8777E+00,+3.5900E+00,+3.6956E+00
-4.9800E+00,+2.8758E+00,+3.5900E+00,+3.6941E+00
-4.9700E+00,+2.8767E+00,+3.5744E+00,+3.6956E+00
-4.9600E+00,+2.8761E+00,+3.5744E+00,+3.6941E+00
-4.9500E+00,+2.8764E+00,+3.5587E+00,+3.6941E+00
-4.9400E+00,+2.8771E+00,+3.5900E+00,+3.6956E+00
-4.9300E+00,+2.8764E+00,+3.5900E+00,+3.6956E+00
-4.9200E+00,+2.8761E+00,+3.5744E+00,+3.6956E+00
-4.9100E+00,+2.8764E+00,+3.5900E+00,+3.6941E+00
-4.9000E+00,+2.8761E+00,+3.5744E+00,+3.6941E+00
-4.8900E+00,+2.8761E+00,+3.5900E+00,+3.6941E+00
-4.8800E+00,+2.8761E+00,+3.5744E+00,+3.6941E+00
-4.8700E+00,+2.8767E+00,+3.5744E+00,+3.6941E+00
-4.8600E+00,+2.8764E+00,+3.5744E+00,+3.6956E+00
-4.8500E+00,+2.8764E+00,+3.5900E+00,+3.6956E+00
-4.8400E+00,+2.8761E+00,+3.5744E+00,+3.6956E+00
-4.8300E+00,+2.8755E+00,+3.5900E+00,+3.6925E+00
-4.8200E+00,+2.8758E+00,+3.5900E+00,+3.6956E+00
-4.8100E+00,+2.8767E+00,+3.6056E+00,+3.6956E+00
-4.8000E+00,+2.8755E+00,+3.5900E+00,+3.6941E+00
-4.7900E+00,+2.8761E+00,+3.5900E+00,+3.6941E+00
-4.7800E+00,+2.8749E+00,+3.5900E+00,+3.6956E+00
-4.7700E+00,+2.8761E+00,+3.5744E+00,+3.6941E+00
-4.7600E+00,+2.8764E+00,+3.5744E+00,+3.6925E+00
-4.7500E+00,+2.8761E+00,+3.5587E+00,+3.6941E+00
-4.7400E+00,+2.8752E+00,+3.5900E+00,+3.6925E+00
-4.7300E+00,+2.8764E+00,+3.5744E+00,+3.6956E+00
-4.7200E+00,+2.8761E+00,+3.5900E+00,+3.6925E+00
-4.7100E+00,+2.8764E+00,+3.5744E+00,+3.6972E+00
-4.7000E+00,+2.8761E+00,+3.5587E+00,+3.6956E+00
-4.6900E+00,+2.8767E+00,+3.5587E+00,+3.6987E+00
-4.6800E+00,+2.8761E+00,+3.5587E+00,+3.6956E+00
-4.6700E+00,+2.8767E+00,+3.5587E+00,+3.6956E+00
-4.6600E+00,+2.8767E+00,+3.5275E+00,+3.6941E+00
-4.6500E+00,+2.8764E+00,+3.5431E+00,+3.6909E+00
-4.6400E+00,+2.8761E+00,+3.5275E+00,+3.6972E+00
-4.6300E+00,+2.8764E+00,+3.5119E+00,+3.7003E+00
-4.6200E+00,+2.8761E+00,+3.5119E+00,+3.6972E+00
-4.6100E+00,+2.8761E+00,+3.4806E+00,+3.6987E+00
-4.6000E+00,+2.8764E+00,+3.4806E+00,+3.6987E+00
-4.5900E+00,+2.8767E+00,+3.4650E+00,+3.7003E+00
-4.5800E+00,+2.8761E+00,+3.4337E+00,+3.7003E+00
-4.5700E+00,+2.8771E+00,+3.4181E+00,+3.7019E+00
-4.5600E+00,+2.8761E+00,+3.3869E+00,+3.7034E+00
-4.5500E+00,+2.8764E+00,+3.3712E+00,+3.6941E+00
-4.5400E+00,+2.8761E+00,+3.3556E+00,+3.7034E+00
-4.5300E+00,+2.8767E+00,+3.3244E+00,+3.7066E+00
-4.5200E+00,+2.8764E+00,+3.2931E+00,+3.7050E+00
-4.5100E+00,+2.8767E+00,+3.2775E+00,+3.7066E+00
-4.5000E+00,+2.8764E+00,+3.2462E+00,+3.7097E+00
-4.4900E+00,+2.8771E+00,+3.2150E+00,+3.7081E+00
-4.4800E+00,+2.8764E+00,+3.1837E+00,+3.7081E+00
-4.4700E+00,+2.8771E+00,+3.1369E+00,+3.7050E+00
-4.4600E+00,+2.8730E+00,+3.1212E+00,+3.3972E+00
-4.4500E+00,+2.8742E+00,+3.1056E+00,+3.7112E+00
-4.4400E+00,+2.8739E+00,+3.0587E+00,+3.7144E+00
-4.4300E+00,+2.8752E+00,+3.0431E+00,+3.7128E+00
-4.4200E+00,+2.8746E+00,+3.0119E+00,+3.7175E+00
-4.4100E+00,+2.8761E+00,+2.9806E+00,+3.6487E+00
-4.4000E+00,+2.8739E+00,+2.9337E+00,+3.7159E+00
-4.3900E+00,+2.8746E+00,+2.8869E+00,+3.7159E+00
-4.3800E+00,+2.8733E+00,+2.8712E+00,+3.7159E+00
-4.3700E+00,+2.8752E+00,+2.8244E+00,+3.7206E+00
-4.3600E+00,+2.8752E+00,+2.8087E+00,+3.7206E+00
-4.3500E+00,+2.8755E+00,+2.7619E+00,+3.7159E+00
-4.3400E+00,+2.8749E+00,+2.7306E+00,+3.7191E+00
-4.3300E+00,+2.8755E+00,+2.6994E+00,+3.7222E+00
-4.3200E+00,+2.8746E+00,+2.6525E+00,+3.7253E+00
-4.3100E+00,+2.8761E+00,+2.6369E+00,+3.7253E+00
-4.3000E+00,+2.8749E+00,+2.5587E+00,+3.7050E+00
-4.2900E+00,+2.8746E+00,+2.5587E+00,+3.7128E+00
-4.2800E+00,+2.8730E+00,+2.4962E+00,+3.3972E+00
-4.2700E+00,+2.8736E+00,+2.4650E+00,+3.7159E+00
-4.2600E+00,+2.8714E+00,+2.4181E+00,+3.3972E+00
-4.2500E+00,+2.8714E+00,+2.3869E+00,+3.4894E+00
-4.2400E+00,+2.8708E+00,+2.3556E+00,+3.3972E+00
-4.2300E+00,+2.8708E+00,+2.3244E+00,+3.7112E+00
-4.2200E+00,+2.8711E+00,+2.2931E+00,+3.7237E+00
-4.2100E+00,+2.8724E+00,+2.2462E+00,+3.7253E+00
-4.2000E+00,+2.8730E+00,+2.1994E+00,+3.7159E+00
-4.1900E+00,+2.8727E+00,+2.1837E+00,+3.5191E+00
-4.1800E+00,+2.8802E+00,+2.1681E+00,+3.3972E+00
-4.1700E+00,+2.8724E+00,+2.1212E+00,+3.7237E+00
-4.1600E+00,+2.8739E+00,+2.0900E+00,+3.7237E+00
-4.1500E+00,+2.8742E+00,+2.0744E+00,+3.7191E+00
-4.1400E+00,+2.8736E+00,+2.0587E+00,+3.6956E+00
-4.1300E+00,+2.8746E+00,+2.0275E+00,+3.7206E+00
-4.1200E+00,+2.8742E+00,+2.0119E+00,+3.7206E+00
-4.1100E+00,+2.8755E+00,+1.9962E+00,+3.7191E+00
-4.1000E+00,+2.8752E+00,+1.9806E+00,+3.7191E+00
-4.0900E+00,+2.8749E+00,+1.9650E+00,+3.6144E+00
-4.0800E+00,+2.8749E+00,+1.9494E+00,+3.5987E+00
-4.0700E+00,+2.8727E+00,+1.9337E+00,+3.7159E+00
-4.0600E+00,+2.8733E+00,+1.9025E+00,+3.7144E+00
-4.0500E+00,+2.8733E+00,+1.9181E+00,+3.7019E+00
-4.0400E+00,+2.8736E+00,+1.9025E+00,+3.7019E+00
-4.0300E+00,+2.8733E+00,+1.8712E+00,+3.6862E+00
-4.0200E+00,+2.8727E+00,+1.8556E+00,+3.3972E+00
-4.0100E+00,+2.8739E+00,+1.8712E+00,+3.7034E+00
-4.0000E+00,+2.8739E+00,+1.8712E+00,+3.7034E+00
-3.9900E+00,+2.8749E+00,+1.8556E+00,+3.7019E+00
-3.9800E+00,+2.8739E+00,+1.8712E+00,+3.3972E+00
-3.9700E+00,+2.8749E+00,+1.8556E+00,+3.7003E+00
-3.9600E+00,+2.8752E+00,+1.8244E+00,+3.6972E+00
-3.9500E+00,+2.8746E+00,+1.8400E+00,+3.6956E+00
-3.9400E+00,+2.8752E+00,+1.8400E+00,+3.6925E+00
-3.9300E+00,+2.8758E+00,+1.8400E+00,+3.5862E+00
-3.9200E+00,+2.8752E+00,+1.8556E+00,+3.6847E+00
-3.9100E+00,+2.8761E+00,+1.8712E+00,+3.6862E+00
-3.9000E+00,+2.8749E+00,+1.8712E+00,+3.6862E+00
-3.8900E+00,+2.8758E+00,+1.8556E+00,+3.6816E+00
-3.8800E+00,+2.8755E+00,+1.8869E+00,+3.6831E+00
-3.8700E+00,+2.8758E+00,+1.9025E+00,+3.6534E+00
-3.8600E+00,+2.8749E+00,+1.9025E+00,+3.6753E+00
-3.8500E+00,+2.8746E+00,+1.9025E+00,+3.6706E+00
-3.8400E+00,+2.8752E+00,+1.9337E+00,+3.6675E+00
-3.8300E+00,+2.8755E+00,+1.9494E+00,+3.6659E+00
-3.8200E+00,+2.8746E+00,+1.9962E+00,+3.6628E+00
-3.8100E+00,+2.8749E+00,+2.0119E+00,+3.6581E+00
-3.8000E+00,+2.8742E+00,+2.0119E+00,+3.6566E+00
-3.7900E+00,+2.8749E+00,+2.0587E+00,+3.6550E+00
-3.7800E+00,+2.8752E+00,+2.0587E+00,+3.6487E+00
-3.7700E+00,+2.8733E+00,+2.1056E+00,+3.6456E+00
-3.7600E+00,+2.8730E+00,+2.1369E+00,+3.6425E+00
-3.7500E+00,+2.8736E+00,+2.1837E+00,+3.6394E+00
-3.7400E+00,+2.8727E+00,+2.1837E+00,+3.6362E+00
-3.7300E+00,+2.8742E+00,+2.2306E+00,+3.6331E+00
-3.7200E+00,+2.8739E+00,+2.2619E+00,+3.6316E+00
-3.7100E+00,+2.8755E+00,+2.2931E+00,+3.6269E+00
-3.7000E+00,+2.8746E+00,+2.3087E+00,+3.6269E+00
-3.6900E+00,+2.8727E+00,+2.3400E+00,+3.6175E+00
-3.6800E+00,+2.8730E+00,+2.3869E+00,+3.6191E+00
-3.6700E+00,+2.8736E+00,+2.4025E+00,+3.6144E+00
-3.6600E+00,+2.8730E+00,+2.4494E+00,+3.6097E+00
-3.6500E+00,+2.8730E+00,+2.4650E+00,+3.6050E+00
-3.6400E+00,+2.8730E+00,+2.5119E+00,+3.6003E+00
-3.6300E+00,+2.8739E+00,+2.5431E+00,+3.6019E+00
-3.6200E+00,+2.8730E+00,+2.5744E+00,+3.5972E+00
-3.6100E+00,+2.8739E+00,+2.6056E+00,+3.5909E+00
-3.6000E+00,+2.8730E+00,+2.6525E+00,+3.5894E+00
-3.5900E+00,+2.8733E+00,+2.6837E+00,+3.5894E+00
-3.5800E+00,+2.8739E+00,+2.6994E+00,+3.5862E+00
-3.5700E+00,+2.8730E+00,+2.7462E+00,+3.5816E+00
-3.5600E+00,+2.8730E+00,+2.7775E+00,+3.5784E+00
-3.5500E+00,+2.8733E+00,+2.8087E+00,+3.5753E+00
-3.5400E+00,+2.8730E+00,+2.8400E+00,+3.5737E+00
-3.5300E+00,+2.8736E+00,+2.8869E+00,+3.5675E+00
-3.5200E+00,+2.8727E+00,+2.9025E+00,+3.5691E+00
-3.5100E+00,+2.8727E+00,+2.9337E+00,+3.5628E+00
-3.5000E+00,+2.8730E+00,+2.9806E+00,+3.5597E+00
-3.4900E+00,+2.8727E+00,+3.0275E+00,+3.5612E+00
-3.4800E+00,+2.8721E+00,+3.0431E+00,+3.5566E+00
-3.4700E+00,+2.8724E+00,+3.0587E+00,+3.5566E+00
-3.4600E+00,+2.8721E+00,+3.0744E+00,+3.5487E+00
-3.4500E+00,+2.8724E+00,+3.1369E+00,+3.5456E+00
-3.4400E+00,+2.8714E+00,+3.1681E+00,+3.5456E+00
-3.4300E+00,+2.8711E+00,+3.1681E+00,+3.5456E+00
-3.4200E+00,+2.8724E+00,+3.1837E+00,+3.5441E+00
-3.4100E+00,+2.8717E+00,+3.2150E+00,+3.5441E+00
-3.4000E+00,+2.8717E+00,+3.2462E+00,+3.5394E+00
-3.3900E+00,+2.8724E+00,+3.2462E+00,+3.5362E+00
-3.3800E+00,+2.8714E+00,+3.2462E+00,+3.5362E+00
-3.3700E+00,+2.8727E+00,+3.2619E+00,+3.5347E+00
-3.3600E+00,+2.8727E+00,+3.3087E+00,+3.5362E+00
-3.3500E+00,+2.8721E+00,+3.3244E+00,+3.5347E+00
-3.3400E+00,+2.8705E+00,+3.3244E+00,+3.5316E+00
-3.3300E+00,+2.8714E+00,+3.3087E+00,+3.5331E+00
-3.3200E+00,+2.8711E+00,+3.3400E+00,+3.5331E+00
-3.3100E+00,+2.8714E+00,+3.3712E+00,+3.5316E+00
-3.3000E+00,+2.8714E+00,+3.3869E+00,+3.5316E+00
-3.2900E+00,+2.8721E+00,+3.3869E+00,+3.5331E+00
-3.2800E+00,+2.8711E+00,+3.4025E+00,+3.5316E+00
-3.2700E+00,+2.8714E+00,+3.4025E+00,+3.5316E+00
-3.2600E+00,+2.8717E+00,+3.4181E+00,+3.5347E+00
-3.2500E+00,+2.8717E+00,+3.4181E+00,+3.5347E+00
-3.2400E+00,+2.8711E+00,+3.4181E+00,+3.5331E+00
-3.2300E+00,+2.8711E+00,+3.4337E+00,+3.5331E+00
-3.2200E+00,+2.8711E+00,+3.4337E+00,+3.5331E+00
-3.2100E+00,+2.8721E+00,+3.4650E+00,+3.5347E+00
-3.2000E+00,+2.8717E+00,+3.4494E+00,+3.5362E+00
-3.1900E+00,+2.8717E+00,+3.4494E+00,+3.5378E+00
-3.1800E+00,+2.8711E+00,+3.4650E+00,+3.5409E+00
-3.1700E+00,+2.8714E+00,+3.4494E+00,+3.5362E+00
-3.1600E+00,+2.8711E+00,+3.4494E+00,+3.5394E+00
-3.1500E+00,+2.8711E+00,+3.4494E+00,+3.5394E+00
-3.1400E+00,+2.8714E+00,+3.4650E+00,+3.5456E+00
-3.1300E+00,+2.8721E+00,+3.4494E+00,+3.5425E+00
-3.1200E+00,+2.8714E+00,+3.4494E+00,+3.5472E+00
-3.1100E+00,+2.8717E+00,+3.4337E+00,+3.5472E+00
-3.1000E+00,+2.8717E+00,+3.4494E+00,+3.5487E+00
-3.0900E+00,+2.8714E+00,+3.4337E+00,+3.5487E+00
-3.0800E+00,+2.8708E+00,+3.4181E+00,+3.5487E+00
-3.0700E+00,+2.8714E+00,+3.4025E+00,+3.5503E+00
-3.0600E+00,+2.8721E+00,+3.4025E+00,+3.5534E+00
-3.0500E+00,+2.8714E+00,+3.3869E+00,+3.5550E+00
-3.0400E+00,+2.8721E+00,+3.3712E+00,+3.5581E+00
-3.0300E+00,+2.8727E+00,+3.3400E+00,+3.5612E+00
-3.0200E+00,+2.8717E+00,+3.3244E+00,+3.5644E+00
-3.0100E+00,+2.8730E+00,+3.3244E+00,+3.5628E+00
-3.0000E+00,+2.8724E+00,+3.3244E+00,+3.5659E+00
-2.9900E+00,+2.8717E+00,+3.3087E+00,+3.5644E+00
-2.9800E+00,+2.8727E+00,+3.2931E+00,+3.5706E+00
-2.9700E+00,+2.8721E+00,+3.2306E+00,+3.5722E+00
-2.9600E+00,+2.8721E+00,+3.2150E+00,+3.5753E+00
-2.9500E+00,+2.8721E+00,+3.2150E+00,+3.5753E+00
-2.9400E+00,+2.8733E+00,+3.1994E+00,+3.5769E+00
-2.9300E+00,+2.8721E+00,+3.1837E+00,+3.5784E+00
-2.9200E+00,+2.8721E+00,+3.1369E+00,+3.5800E+00
-2.9100E+00,+2.8730E+00,+3.1212E+00,+3.5847E+00
-2.9000E+00,+2.8724E+00,+3.0744E+00,+3.5816E+00
-2.8900E+00,+2.8724E+00,+3.0900E+00,+3.5862E+00
-2.8800E+00,+2.8733E+00,+3.0744E+00,+3.5862E+00
-2.8700E+00,+2.8721E+00,+3.0275E+00,+3.5894E+00
-2.8600E+00,+2.8724E+00,+2.9962E+00,+3.5941E+00
-2.8500E+00,+2.8721E+00,+2.9962E+00,+3.5941E+00
-2.8400E+00,+2.8733E+00,+2.9650E+00,+3.5972E+00
-2.8300E+00,+2.8730E+00,+2.9337E+00,+3.6019E+00
-2.8200E+00,+2.8727E+00,+2.8556E+00,+3.6019E+00
-2.8100E+00,+2.8733E+00,+2.8556E+00,+3.6019E+00
-2.8000E+00,+2.8733E+00,+2.8400E+00,+3.6050E+00
-2.7900E+00,+2.8733E+00,+2.8244E+00,+3.6066E+00
-2.7800E+00,+2.8736E+00,+2.7619E+00,+3.6112E+00
-2.7700E+00,+2.8739E+00,+2.7150E+00,+3.6097E+00
-2.7600E+00,+2.8739E+00,+2.7150E+00,+3.6128E+00
-2.7500E+00,+2.8721E+00,+2.6994E+00,+3.6128E+00
-2.7400E+00,+2.8736E+00,+2.6525E+00,+3.6144E+00
-2.7300E+00,+2.8746E+00,+2.6212E+00,+3.6175E+00
-2.7200E+00,+2.8739E+00,+2.5744E+00,+3.6159E+00
-2.7100E+00,+2.8736E+00,+2.5587E+00,+3.6222E+00
-2.7000E+00,+2.8739E+00,+2.5431E+00,+3.6191E+00
-2.6900E+00,+2.8730E+00,+2.4806E+00,+3.6222E+00
