x-axis,1,2,3
second,Volt,Ampere,Volt
-4.1200E+00,+2.8730E+00,+2.7275E+00,+3.5753E+00
-4.1100E+00,+2.8724E+00,+2.7650E+00,+3.5722E+00
-4.1000E+00,+2.8730E+00,+2.7962E+00,+3.5691E+00
-4.0900E+00,+2.8730E+00,+2.8400E+00,+3.5659E+00
-4.0800E+00,+2.8724E+00,+2.8962E+00,+3.5612E+00
-4.0700E+00,+2.8724E+00,+2.9400E+00,+3.5550E+00
-4.0600E+00,+2.8724E+00,+2.9775E+00,+3.5519E+00
-4.0500E+00,+2.8721E+00,+3.0087E+00,+3.5487E+00
-4.0400E+00,+2.8724E+00,+3.0587E+00,+3.5472E+00
-4.0300E+00,+2.8727E+00,+3.0962E+00,+3.5441E+00
-4.0200E+00,+2.8714E+00,+3.1150E+00,+3.5394E+00
-4.0100E+00,+2.8708E+00,+3.1650E+00,+3.5347E+00
-4.0000E+00,+2.8717E+00,+3.2025E+00,+3.5300E+00
-3.9900E+00,+2.8717E+00,+3.2275E+00,+3.5253E+00
-3.9800E+00,+2.8705E+00,+3.2650E+00,+3.5269E+00
-3.9700E+00,+2.8714E+00,+3.2837E+00,+3.5206E+00
-3.9600E+00,+2.8708E+00,+3.3025E+00,+3.5175E+00
-3.9500E+00,+2.8724E+00,+3.3462E+00,+3.5159E+00
-3.9400E+00,+2.8705E+00,+3.3837E+00,+3.5144E+00
-3.9300E+00,+2.8708E+00,+3.3900E+00,+3.5097E+00
-3.9200E+00,+2.8711E+00,+3.4025E+00,+3.5097E+00
-3.9100E+00,+2.8702E+00,+3.4212E+00,+3.5066E+00
-3.9000E+00,+2.8708E+00,+3.4525E+00,+3.5050E+00
-3.8900E+00,+2.8714E+00,+3.4712E+00,+3.5066E+00
-3.8800E+00,+2.8705E+00,+3.4900E+00,+3.5050E+00
-3.8700E+00,+2.8699E+00,+3.4962E+00,+3.5003E+00
-3.8600E+00,+2.8705E+00,+3.5087E+00,+3.5034E+00
-3.8500E+00,+2.8702E+00,+3.5400E+00,+3.5019E+00
-3.8400E+00,+2.8699E+00,+3.5337E+00,+3.5019E+00
-3.8300E+00,+2.8702E+00,+3.5400E+00,+3.5019E+00
-3.8200E+00,+2.8705E+00,+3.5525E+00,+3.5019E+00
-3.8100E+00,+2.8702E+00,+3.5587E+00,+3.5019E+00
-3.8000E+00,+2.8705E+00,+3.5712E+00,+3.5019E+00
-3.7900E+00,+2.8702E+00,+3.5712E+00,+3.5003E+00
-3.7800E+00,+2.8708E+00,+3.5712E+00,+3.5003E+00
-3.7700E+00,+2.8705E+00,+3.5712E+00,+3.5034E+00
-3.7600E+00,+2.8705E+00,+3.5712E+00,+3.5034E+00
-3.7500E+00,+2.8699E+00,+3.5712E+00,+3.5019E+00
-3.7400E+00,+2.8696E+00,+3.5712E+00,+3.5050E+00
-3.7300E+00,+2.8705E+00,+3.5712E+00,+3.5050E+00
-3.7200E+00,+2.8705E+00,+3.5712E+00,+3.5050E+00
-3.7100E+00,+2.8702E+00,+3.5712E+00,+3.5066E+00
-3.7000E+00,+2.8705E+00,+3.5712E+00,+3.5050E+00
-3.6900E+00,+2.8702E+00,+3.5712E+00,+3.5097E+00
-3.6800E+00,+2.8702E+00,+3.5712E+00,+3.5112E+00
-3.6700E+00,+2.8699E+00,+3.5712E+00,+3.5112E+00
-3.6600E+00,+2.8705E+00,+3.5712E+00,+3.5128E+00
-3.6500E+00,+2.8699E+00,+3.5712E+00,+3.5159E+00
-3.6400E+00,+2.8699E+00,+3.5712E+00,+3.5159E+00
-3.6300E+00,+2.8708E+00,+3.5712E+00,+3.5175E+00
-3.6200E+00,+2.8702E+00,+3.5712E+00,+3.5191E+00
-3.6100E+00,+2.8705E+00,+3.5712E+00,+3.5206E+00
-3.6000E+00,+2.8699E+00,+3.5712E+00,+3.5237E+00
-3.5900E+00,+2.8705E+00,+3.5650E+00,+3.5269E+00
