x-axis,1,2,3
second,Volt,Ampere,Volt
-5.0000E+00,+2.8711E+00,+3.3000E+00,+3.5649E+00
-4.9900E+00,+2.8708E+00,+3.3063E+00,+3.5633E+00
-4.9800E+00,+2.8717E+00,+3.3125E+00,+3.5633E+00
-4.9700E+00,+2.8711E+00,+3.3250E+00,+3.5633E+00
-4.9600E+00,+2.8721E+00,+3.3438E+00,+3.5664E+00
-4.9500E+00,+2.8714E+00,+3.3375E+00,+3.5649E+00
-4.9400E+00,+2.8711E+00,+3.3438E+00,+3.5649E+00
-4.9300E+00,+2.8727E+00,+3.3500E+00,+3.5664E+00
-4.9200E+00,+2.8721E+00,+3.3563E+00,+3.5680E+00
-4.9100E+00,+2.8711E+00,+3.3625E+00,+3.5680E+00
-4.9000E+00,+2.8711E+00,+3.3625E+00,+3.5696E+00
-4.8900E+00,+2.8708E+00,+3.3438E+00,+3.5696E+00
-4.8800E+00,+2.8730E+00,+3.3563E+00,+3.5727E+00
-4.8700E+00,+2.8714E+00,+3.3500E+00,+3.5743E+00
-4.8600E+00,+2.8717E+00,+3.3500E+00,+3.5758E+00
-4.8500E+00,+2.8711E+00,+3.3438E+00,+3.5727E+00
-4.8400E+00,+2.8717E+00,+3.3375E+00,+3.5743E+00
-4.8300E+00,+2.8711E+00,+3.3438E+00,+3.5727E+00
-4.8200E+00,+2.8711E+00,+3.3500E+00,+3.5758E+00
-4.8100E+00,+2.8721E+00,+3.3375E+00,+3.5774E+00
-4.8000E+00,+2.8711E+00,+3.3250E+00,+3.5789E+00
-4.7900E+00,+2.8721E+00,+3.3188E+00,+3.5789E+00
-4.7800E+00,+2.8721E+00,+3.3188E+00,+3.5774E+00
-4.7700E+00,+2.8717E+00,+3.3125E+00,+3.5774E+00
-4.7600E+00,+2.8714E+00,+3.2938E+00,+3.5821E+00
-4.7500E+00,+2.8714E+00,+3.2875E+00,+3.5836E+00
-4.7400E+00,+2.8724E+00,+3.2875E+00,+3.5852E+00
-4.7300E+00,+2.8711E+00,+3.2688E+00,+3.5899E+00
-4.7200E+00,+2.8724E+00,+3.2625E+00,+3.5852E+00
-4.7100E+00,+2.8714E+00,+3.2438E+00,+3.5899E+00
-4.7000E+00,+2.8708E+00,+3.2313E+00,+3.5899E+00
-4.6900E+00,+2.8721E+00,+3.2188E+00,+3.5961E+00
-4.6800E+00,+2.8724E+00,+3.2000E+00,+3.5930E+00
-4.6700E+00,+2.8717E+00,+3.1813E+00,+3.5946E+00
-4.6600E+00,+2.8721E+00,+3.1688E+00,+3.5946E+00
-4.6500E+00,+2.8717E+00,+3.1625E+00,+3.5961E+00
-4.6400E+00,+2.8733E+00,+3.1438E+00,+3.5930E+00
-4.6300E+00,+2.8721E+00,+3.1188E+00,+3.6008E+00
-4.6200E+00,+2.8727E+00,+3.1000E+00,+3.5993E+00
-4.6100E+00,+2.8727E+00,+3.0813E+00,+3.6055E+00
-4.6000E+00,+2.8727E+00,+3.0625E+00,+3.6055E+00
-4.5900E+00,+2.8717E+00,+3.0438E+00,+3.6102E+00
-4.5800E+00,+2.8727E+00,+3.0313E+00,+3.6102E+00
-4.5700E+00,+2.8717E+00,+3.0125E+00,+3.6102E+00
-4.5600E+00,+2.8727E+00,+3.0000E+00,+3.6118E+00
-4.5500E+00,+2.8724E+00,+2.9688E+00,+3.6133E+00
-4.5400E+00,+2.8730E+00,+2.9438E+00,+3.6164E+00
-4.5300E+00,+2.8727E+00,+2.9375E+00,+3.6180E+00
-4.5200E+00,+2.8727E+00,+2.9188E+00,+3.6196E+00
-4.5100E+00,+2.8736E+00,+2.9000E+00,+3.6196E+00
-4.5000E+00,+2.8724E+00,+2.8688E+00,+3.6211E+00
-4.4900E+00,+2.8699E+00,+2.8438E+00,+3.6227E+00
-4.4800E+00,+2.8705E+00,+2.8313E+00,+3.6211E+00
-4.4700E+00,+2.8705E+00,+2.8063E+00,+3.6243E+00
-4.4600E+00,+2.8714E+00,+2.7750E+00,+3.6274E+00
-4.4500E+00,+2.8711E+00,+2.7562E+00,+3.6274E+00
-4.4400E+00,+2.8717E+00,+2.7375E+00,+3.6258E+00
-4.4300E+00,+2.8717E+00,+2.7187E+00,+3.6274E+00
-4.4200E+00,+2.8724E+00,+2.6937E+00,+3.6289E+00
-4.4100E+00,+2.8724E+00,+2.6625E+00,+3.6289E+00
-4.4000E+00,+2.8730E+00,+2.6437E+00,+3.6321E+00
-4.3900E+00,+2.8730E+00,+2.6187E+00,+3.6321E+00
-4.3800E+00,+2.8730E+00,+2.5937E+00,+3.6336E+00
-4.3700E+00,+2.8733E+00,+2.5812E+00,+3.6336E+00
-4.3600E+00,+2.8736E+00,+2.5562E+00,+3.6321E+00
-4.3500E+00,+2.8724E+00,+2.5250E+00,+3.6336E+00
-4.3400E+00,+2.8736E+00,+2.5125E+00,+3.6336E+00
-4.3300E+00,+2.8730E+00,+2.4937E+00,+3.6368E+00
-4.3200E+00,+2.8739E+00,+2.4750E+00,+3.6336E+00
-4.3100E+00,+2.8739E+00,+2.4562E+00,+3.6368E+00
-4.3000E+00,+2.8739E+00,+2.4375E+00,+3.6336E+00
-4.2900E+00,+2.8733E+00,+2.4250E+00,+3.6383E+00
-4.2800E+00,+2.8739E+00,+2.4125E+00,+3.6368E+00
-4.2700E+00,+2.8739E+00,+2.4000E+00,+3.6352E+00
-4.2600E+00,+2.8730E+00,+2.3875E+00,+3.6336E+00
-4.2500E+00,+2.8736E+00,+2.3625E+00,+3.6352E+00
-4.2400E+00,+2.8730E+00,+2.3500E+00,+3.6336E+00
-4.2300E+00,+2.8733E+00,+2.3437E+00,+3.6336E+00
-4.2200E+00,+2.8739E+00,+2.3375E+00,+3.6352E+00
-4.2100E+00,+2.8742E+00,+2.3250E+00,+3.6321E+00
-4.2000E+00,+2.8727E+00,+2.3062E+00,+3.6321E+00
-4.1900E+00,+2.8730E+00,+2.3000E+00,+3.6321E+00
-4.1800E+00,+2.8742E+00,+2.2875E+00,+3.6321E+00
-4.1700E+00,+2.8733E+00,+2.2875E+00,+3.6321E+00
-4.1600E+00,+2.8733E+00,+2.2750E+00,+3.6321E+00
-4.1500E+00,+2.8739E+00,+2.2687E+00,+3.6305E+00
-4.1400E+00,+2.8736E+00,+2.2625E+00,+3.6274E+00
-4.1300E+00,+2.8746E+00,+2.2625E+00,+3.6289E+00
-4.1200E+00,+2.8739E+00,+2.2625E+00,+3.6289E+00
-4.1100E+00,+2.8730E+00,+2.2625E+00,+3.6258E+00
-4.1000E+00,+2.8739E+00,+2.2625E+00,+3.6243E+00
-4.0900E+00,+2.8733E+00,+2.2625E+00,+3.6243E+00
-4.0800E+00,+2.8736E+00,+2.2625E+00,+3.6243E+00
-4.0700E+00,+2.8736E+00,+2.2625E+00,+3.6227E+00
-4.0600E+00,+2.8714E+00,+2.2625E+00,+3.4321E+00
-4.0500E+00,+2.8724E+00,+2.2687E+00,+3.6196E+00
-4.0400E+00,+2.8727E+00,+2.2687E+00,+3.6196E+00
-4.0300E+00,+2.8721E+00,+2.2750E+00,+3.6180E+00
-4.0200E+00,+2.8727E+00,+2.2812E+00,+3.6164E+00
-4.0100E+00,+2.8727E+00,+2.2875E+00,+3.6164E+00
-4.0000E+00,+2.8727E+00,+2.2875E+00,+3.6133E+00
-3.9900E+00,+2.8733E+00,+2.3000E+00,+3.6149E+00
-3.9800E+00,+2.8730E+00,+2.3062E+00,+3.6102E+00
-3.9700E+00,+2.8730E+00,+2.3125E+00,+3.6086E+00
-3.9600E+00,+2.8733E+00,+2.3250E+00,+3.6071E+00
-3.9500E+00,+2.8724E+00,+2.3312E+00,+3.6071E+00
-3.9400E+00,+2.8730E+00,+2.3437E+00,+3.6055E+00
-3.9300E+00,+2.8730E+00,+2.3625E+00,+3.6039E+00
-3.9200E+00,+2.8727E+00,+2.3750E+00,+3.6039E+00
-3.9100E+00,+2.8714E+00,+2.3937E+00,+3.6024E+00
-3.9000E+00,+2.8730E+00,+2.4125E+00,+3.5977E+00
-3.8900E+00,+2.8708E+00,+2.4250E+00,+3.5961E+00
-3.8800E+00,+2.8724E+00,+2.4375E+00,+3.5961E+00
-3.8700E+00,+2.8724E+00,+2.4500E+00,+3.5930E+00
-3.8600E+00,+2.8724E+00,+2.4687E+00,+3.5914E+00
-3.8500E+00,+2.8717E+00,+2.4937E+00,+3.5899E+00
-3.8400E+00,+2.8730E+00,+2.5125E+00,+3.5899E+00
-3.8300E+00,+2.8717E+00,+2.5375E+00,+3.5899E+00
-3.8200E+00,+2.8724E+00,+2.5562E+00,+3.5868E+00
-3.8100E+00,+2.8727E+00,+2.5687E+00,+3.5868E+00
-3.8000E+00,+2.8721E+00,+2.5875E+00,+3.5836E+00
-3.7900E+00,+2.8717E+00,+2.6062E+00,+3.5805E+00
-3.7800E+00,+2.8721E+00,+2.6250E+00,+3.5821E+00
-3.7700E+00,+2.8717E+00,+2.6437E+00,+3.5821E+00
-3.7600E+00,+2.8724E+00,+2.6687E+00,+3.5805E+00
-3.7500E+00,+2.8724E+00,+2.6875E+00,+3.5789E+00
-3.7400E+00,+2.8721E+00,+2.7062E+00,+3.5758E+00
-3.7300E+00,+2.8724E+00,+2.7250E+00,+3.5758E+00
-3.7200E+00,+2.8721E+00,+2.7437E+00,+3.5758E+00
-3.7100E+00,+2.8721E+00,+2.7687E+00,+3.5743E+00
-3.7000E+00,+2.8714E+00,+2.7875E+00,+3.5711E+00
-3.6900E+00,+2.8717E+00,+2.8125E+00,+3.5727E+00
-3.6800E+00,+2.8721E+00,+2.8313E+00,+3.5696E+00
-3.6700E+00,+2.8717E+00,+2.8438E+00,+3.5696E+00
-3.6600E+00,+2.8711E+00,+2.8750E+00,+3.5649E+00
-3.6500E+00,+2.8714E+00,+2.8875E+00,+3.5696E+00
